decibel,timestamp,location
60.5,2026-03-30 17:27:26.806,Commons
69.0,2026-03-30 17:27:27.016,Commons
72.2,2026-03-30 17:27:27.225,Commons
68.9,2026-03-30 17:27:27.436,Commons
72.6,2026-03-30 17:27:27.645,Commons
64.8,2026-03-30 17:27:27.856,Commons
68.1,2026-03-30 17:27:28.066,Commons
64.4,2026-03-30 17:27:28.275,Commons
65.1,2026-03-30 17:27:28.486,Commons
67.2,2026-03-30 17:27:28.696,Commons
68.7,2026-03-30 17:27:28.906,Commons
68.0,2026-03-30 17:27:29.116,Commons
68.0,2026-03-30 17:27:29.325,Commons
71.1,2026-03-30 17:27:29.535,Commons
69.8,2026-03-30 17:27:29.745,Commons
73.1,2026-03-30 17:27:29.956,Commons
69.5,2026-03-30 17:27:30.166,Commons
67.1,2026-03-30 17:27:30.375,Commons
69.4,2026-03-30 17:27:30.586,Commons
66.6,2026-03-30 17:27:30.795,Commons
64.8,2026-03-30 17:27:31.005,Commons
62.1,2026-03-30 17:27:31.215,Commons
62.0,2026-03-30 17:27:31.425,Commons
60.0,2026-03-30 17:27:31.635,Commons
60.9,2026-03-30 17:27:31.845,Commons
